T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
96,Brunei Darussalam,2022,Major trading partner 3 (% of exports),China,,15.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
96,Brunei Darussalam,2010,Major trading partner 3 (% of imports),China,,7.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
96,Brunei Darussalam,2015,Major trading partner 3 (% of imports),China,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
96,Brunei Darussalam,2022,Major trading partner 3 (% of imports),China,,8.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 1 (% of exports),Germany,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 1 (% of exports),Germany,,13.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 1 (% of exports),Germany,,14.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 1 (% of imports),Russian Federation,,16.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 1 (% of imports),Russian Federation,,12.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 1 (% of imports),Russian Federation,,10.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 2 (% of exports),Romania,,9.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 2 (% of exports),Romania,,9.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 2 (% of exports),Romania,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 2 (% of imports),Germany,,11.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 2 (% of imports),Germany,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 2 (% of imports),Germany,,10.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 3 (% of exports),Italy,,9.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 3 (% of exports),Italy,,9.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 3 (% of exports),Italy,,7.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2010,Major trading partner 3 (% of imports),Türkiye,,5.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2015,Major trading partner 3 (% of imports),Türkiye,,5.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
100,Bulgaria,2022,Major trading partner 3 (% of imports),Türkiye,,8.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 1 (% of exports),Switzerland,,63.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 1 (% of exports),Switzerland,,50.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 1 (% of exports),Switzerland,,72.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 1 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 1 (% of imports),China,,11.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 1 (% of imports),China,,13.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 2 (% of exports),India,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 2 (% of exports),India,,10.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 2 (% of exports),India,,9.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 2 (% of imports),Côte d’Ivoire,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 2 (% of imports),Côte d’Ivoire,,8.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 2 (% of imports),Côte d’Ivoire,,8.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 3 (% of exports),Singapore,,4.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 3 (% of exports),Singapore,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 3 (% of exports),Singapore,,3.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2010,Major trading partner 3 (% of imports),France,,10.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2015,Major trading partner 3 (% of imports),France,,9.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
854,Burkina Faso,2022,Major trading partner 3 (% of imports),France,,7.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2010,Major trading partner 1 (% of exports),Dem. Rep. of Congo,,6.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2015,Major trading partner 1 (% of exports),Dem. Rep. of Congo,,24.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 1 (% of exports),Dem. Rep. of Congo,,23.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2010,Major trading partner 1 (% of imports),China,,12.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2015,Major trading partner 1 (% of imports),China,,12.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 1 (% of imports),China,,18.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2010,Major trading partner 2 (% of exports),Belgium,,13.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2015,Major trading partner 2 (% of exports),Belgium,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 2 (% of exports),Belgium,,12.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2010,Major trading partner 2 (% of imports),Saudi Arabia,,0.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2015,Major trading partner 2 (% of imports),Saudi Arabia,,6.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 2 (% of imports),Saudi Arabia,,13.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 3 (% of exports),Pakistan,,8.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2010,Major trading partner 3 (% of imports),United Rep. Tanzania,,6.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2015,Major trading partner 3 (% of imports),United Rep. Tanzania,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
108,Burundi,2022,Major trading partner 3 (% of imports),United Rep. Tanzania,,9.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 1 (% of exports),Spain,,32.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 1 (% of exports),Spain,,69.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 1 (% of exports),Spain,,63.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 1 (% of imports),Portugal,,45.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 1 (% of imports),Portugal,,43.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 1 (% of imports),Portugal,,41.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 2 (% of exports),Portugal,,24.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 2 (% of exports),Portugal,,14.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 2 (% of exports),Portugal,,15.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 2 (% of imports),Netherlands,,13.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 2 (% of imports),Netherlands,,12.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 2 (% of imports),Netherlands,,16.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 3 (% of exports),Italy,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 3 (% of exports),Italy,,2.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 3 (% of exports),Italy,,11.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2010,Major trading partner 3 (% of imports),Spain,,6.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2015,Major trading partner 3 (% of imports),Spain,,7.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
132,Cabo Verde,2022,Major trading partner 3 (% of imports),Spain,,8.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 1 (% of exports),United States,,34.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 1 (% of exports),United States,,25.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 1 (% of exports),United States,,42.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 1 (% of imports),China,,24.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 1 (% of imports),China,,36.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 1 (% of imports),China,,33.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 2 (% of exports),China,,1.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 2 (% of exports),China,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 2 (% of exports),China,,8.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 2 (% of imports),Singapore,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 2 (% of imports),Singapore,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 2 (% of imports),Singapore,,17.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 3 (% of exports),Japan,,1.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 3 (% of exports),Japan,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 3 (% of exports),Japan,,6.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2010,Major trading partner 3 (% of imports),Thailand,,14.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2015,Major trading partner 3 (% of imports),Thailand,,14.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
116,Cambodia,2022,Major trading partner 3 (% of imports),Thailand,,12.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 1 (% of exports),Netherlands,,13.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 1 (% of exports),Netherlands,,16.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 1 (% of exports),Netherlands,,19.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 1 (% of imports),China,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 1 (% of imports),China,,19.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 1 (% of imports),China,,35.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 2 (% of exports),France,,6.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 2 (% of exports),France,,5.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 2 (% of exports),France,,13.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 2 (% of imports),France,,14.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 2 (% of imports),France,,10.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 2 (% of imports),France,,7.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 3 (% of exports),India,,3.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 3 (% of exports),India,,15.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 3 (% of exports),India,,12.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2010,Major trading partner 3 (% of imports),Nigeria,,18.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2015,Major trading partner 3 (% of imports),Nigeria,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
120,Cameroon,2022,Major trading partner 3 (% of imports),Nigeria,,6.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 1 (% of exports),United States,,74.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 1 (% of exports),United States,,76.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 1 (% of exports),United States,,76.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 1 (% of imports),United States,,50.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 1 (% of imports),United States,,53.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 1 (% of imports),United States,,49.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 2 (% of exports),China,,3.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 2 (% of exports),China,,3.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 2 (% of exports),China,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 2 (% of imports),China,,11.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 2 (% of imports),China,,12.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 2 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 3 (% of exports),United Kingdom,,4.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 3 (% of exports),United Kingdom,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 3 (% of exports),United Kingdom,,2.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2010,Major trading partner 3 (% of imports),Mexico,,5.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2015,Major trading partner 3 (% of imports),Mexico,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
124,Canada,2022,Major trading partner 3 (% of imports),Mexico,,5.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2010,Major trading partner 1 (% of exports),United States,,1.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2015,Major trading partner 1 (% of exports),United States,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2022,Major trading partner 1 (% of exports),United States,,77.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2010,Major trading partner 2 (% of exports),Jamaica,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2015,Major trading partner 2 (% of exports),Jamaica,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2022,Major trading partner 2 (% of exports),Jamaica,,13.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2010,Major trading partner 3 (% of exports),United Kingdom,,4.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2015,Major trading partner 3 (% of exports),United Kingdom,,3.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
136,Cayman Islands,2022,Major trading partner 3 (% of exports),United Kingdom,,9.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2010,Major trading partner 1 (% of exports),United Arab Emirates,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2015,Major trading partner 1 (% of exports),United Arab Emirates,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 1 (% of exports),United Arab Emirates,,24.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2010,Major trading partner 1 (% of imports),Cameroon,,7.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2015,Major trading partner 1 (% of imports),Cameroon,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 1 (% of imports),Cameroon,,26.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 2 (% of exports),Sweden,,15.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2010,Major trading partner 2 (% of imports),China,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2015,Major trading partner 2 (% of imports),China,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 2 (% of imports),China,,17.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2010,Major trading partner 3 (% of exports),France,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2015,Major trading partner 3 (% of exports),France,,63.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 3 (% of exports),France,,10.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2010,Major trading partner 3 (% of imports),France,,24.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2015,Major trading partner 3 (% of imports),France,,21.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
140,Central African Republic,2022,Major trading partner 3 (% of imports),France,,14.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2010,Major trading partner 1 (% of exports),Germany,,2.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2015,Major trading partner 1 (% of exports),Germany,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2022,Major trading partner 1 (% of exports),Germany,,26.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2010,Major trading partner 1 (% of imports),United Arab Emirates,,1.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2015,Major trading partner 1 (% of imports),United Arab Emirates,,10.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
148,Chad,2022,Major trading partner 1 (% of imports),United Arab Emirates,,28.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
