T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 1 (% of exports),Italy,,33.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 1 (% of imports),China,,11.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 1 (% of imports),China,,15.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 2 (% of exports),Spain,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 2 (% of exports),Spain,,17.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 2 (% of exports),Spain,,12.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 2 (% of imports),France,,14.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 2 (% of imports),France,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 2 (% of imports),France,,12.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 3 (% of exports),France,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 3 (% of exports),France,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 3 (% of exports),France,,10.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 3 (% of imports),Russian Federation,,0.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 3 (% of imports),Russian Federation,,1.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 3 (% of imports),Russian Federation,,8.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 1 (% of exports),Spain,,67.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 1 (% of exports),Spain,,57.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 1 (% of exports),Spain,,78.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 1 (% of imports),Spain,,59.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 1 (% of imports),Spain,,64.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 1 (% of imports),Spain,,66.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 2 (% of exports),France,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 2 (% of exports),France,,19.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 2 (% of exports),France,,6.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 2 (% of imports),France,,17.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 2 (% of imports),France,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 2 (% of imports),France,,11.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 3 (% of exports),United Kingdom,,0.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 3 (% of exports),United Kingdom,,1.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 3 (% of exports),United Kingdom,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2010,Major trading partner 3 (% of imports),Germany,,4.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2015,Major trading partner 3 (% of imports),Germany,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
20,Andorra,2022,Major trading partner 3 (% of imports),Germany,,5.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 1 (% of exports),China,,39.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 1 (% of exports),China,,43.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 1 (% of imports),China,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
